storm_code,storm_name,shear_quad,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
SHEM_10_12,Oli,DL,8,6,2.7204727211007667,3.125937829208931,6,1,3.121597777637052,3.7287104269063285,6,0,3.2279695538875366,4.120752277173947,40,20.0,15.0,15.0,2.5,15.0,0.0
SHEM_10_12,Oli,DR,0,0,2.7204727211007667,3.125937829208931,0,0,3.121597777637052,3.7287104269063285,0,0,3.2279695538875366,4.120752277173947,22,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_10_12,Oli,UL,2,1,2.7204727211007667,3.125937829208931,1,1,3.121597777637052,3.7287104269063285,1,1,3.2279695538875366,4.120752277173947,24,8.33,4.17,4.17,4.17,4.17,4.17
SHEM_10_12,Oli,UR,0,0,2.7204727211007667,3.125937829208931,0,0,3.121597777637052,3.7287104269063285,0,0,3.2279695538875366,4.120752277173947,16,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_16_12,Lionrock,DL,0,0,6.002758553726741,6.983587806738466,4,0,4.990432586778736,5.963387661306394,8,0,4.443577720702976,5.5685163392580925,184,0.0,0.0,2.17,0.0,4.35,0.0
WPAC_16_12,Lionrock,DR,0,0,6.002758553726741,6.983587806738466,0,0,4.990432586778736,5.963387661306394,3,0,4.443577720702976,5.5685163392580925,185,0.0,0.0,0.0,0.0,1.62,0.0
WPAC_16_12,Lionrock,UL,0,0,6.002758553726741,6.983587806738466,0,0,4.990432586778736,5.963387661306394,4,0,4.443577720702976,5.5685163392580925,151,0.0,0.0,0.0,0.0,2.65,0.0
WPAC_16_12,Lionrock,UR,0,0,6.002758553726741,6.983587806738466,0,0,4.990432586778736,5.963387661306394,1,0,4.443577720702976,5.5685163392580925,65,0.0,0.0,0.0,0.0,1.54,0.0
WPAC_15_22,Mujigae,DL,0,0,7.953243949327973,9.300317597294583,0,0,7.022868086082642,8.43201151732333,0,0,5.90113806254349,7.435317154255042,44,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_15_22,Mujigae,DR,0,0,7.953243949327973,9.300317597294583,0,0,7.022868086082642,8.43201151732333,0,0,5.90113806254349,7.435317154255042,82,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_15_22,Mujigae,UL,0,0,7.953243949327973,9.300317597294583,0,0,7.022868086082642,8.43201151732333,2,0,5.90113806254349,7.435317154255042,49,0.0,0.0,0.0,0.0,4.08,0.0
WPAC_15_22,Mujigae,UR,0,0,7.953243949327973,9.300317597294583,0,0,7.022868086082642,8.43201151732333,0,0,5.90113806254349,7.435317154255042,56,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_14_8,Colin,DL,7,3,3.4396779022302186,3.988984046564273,7,2,3.465735902799726,4.158883083359671,7,0,3.4840351929714983,4.4412177623528555,46,15.22,6.52,15.22,4.35,15.22,0.0
SHEM_14_8,Colin,DR,0,0,3.4396779022302186,3.988984046564273,0,0,3.465735902799726,4.158883083359671,0,0,3.4840351929714983,4.4412177623528555,17,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_14_8,Colin,UL,0,0,3.4396779022302186,3.988984046564273,0,0,3.465735902799726,4.158883083359671,0,0,3.4840351929714983,4.4412177623528555,33,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_14_8,Colin,UR,0,0,3.4396779022302186,3.988984046564273,0,0,3.465735902799726,4.158883083359671,0,0,3.4840351929714983,4.4412177623528555,2,0.0,0.0,0.0,0.0,0.0,0.0
ATL_11_14,Maria,DL,0,0,9.935976310778491,11.625456930886127,0,0,8.06848127630479,9.739028005101016,1,0,6.941357449108333,8.807250095053433,161,0.0,0.0,0.0,0.0,0.62,0.0
ATL_11_14,Maria,DR,0,0,9.935976310778491,11.625456930886127,0,0,8.06848127630479,9.739028005101016,6,0,6.941357449108333,8.807250095053433,294,0.0,0.0,0.0,0.0,2.04,0.0
ATL_11_14,Maria,UL,0,0,9.935976310778491,11.625456930886127,0,0,8.06848127630479,9.739028005101016,0,0,6.941357449108333,8.807250095053433,70,0.0,0.0,0.0,0.0,0.0,0.0
ATL_11_14,Maria,UR,0,0,9.935976310778491,11.625456930886127,0,0,8.06848127630479,9.739028005101016,1,0,6.941357449108333,8.807250095053433,192,0.0,0.0,0.0,0.0,0.52,0.0
ATL_14_7,Fay,DL,0,0,5.27460083993072,6.190891571804875,0,0,4.973279507552487,6.043312589300623,0,0,4.448071188865842,5.700474304482931,34,0.0,0.0,0.0,0.0,0.0,0.0
ATL_14_7,Fay,DR,0,0,5.27460083993072,6.190891571804875,2,0,4.973279507552487,6.043312589300623,8,0,4.448071188865842,5.700474304482931,72,0.0,0.0,2.78,0.0,11.11,0.0
ATL_14_7,Fay,UL,0,0,5.27460083993072,6.190891571804875,0,0,4.973279507552487,6.043312589300623,0,0,4.448071188865842,5.700474304482931,12,0.0,0.0,0.0,0.0,0.0,0.0
ATL_14_7,Fay,UR,0,0,5.27460083993072,6.190891571804875,0,0,4.973279507552487,6.043312589300623,0,0,4.448071188865842,5.700474304482931,12,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_6,Fabio,DL,0,0,6.186208623900493,7.284820912568602,0,0,6.562731284971001,8.030127311073766,0,0,5.443127533930392,7.043267894980701,7,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_6,Fabio,DR,0,0,6.186208623900493,7.284820912568602,0,0,6.562731284971001,8.030127311073766,0,0,5.443127533930392,7.043267894980701,19,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_6,Fabio,UL,0,0,6.186208623900493,7.284820912568602,0,0,6.562731284971001,8.030127311073766,0,0,5.443127533930392,7.043267894980701,11,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_6,Fabio,UR,0,0,6.186208623900493,7.284820912568602,0,0,6.562731284971001,8.030127311073766,2,0,5.443127533930392,7.043267894980701,47,0.0,0.0,0.0,0.0,4.26,0.0
WPAC_10_3,Conson,DL,0,0,6.87935580446044,7.977968093128549,1,0,5.724401761858937,6.808928612043698,5,0,5.369183098294055,6.7665442325458205,162,0.0,0.0,0.62,0.0,3.09,0.0
WPAC_10_3,Conson,DR,0,0,6.87935580446044,7.977968093128549,5,0,5.724401761858937,6.808928612043698,16,0,5.369183098294055,6.7665442325458205,209,0.0,0.0,2.39,0.0,7.66,0.0
WPAC_10_3,Conson,UL,0,0,6.87935580446044,7.977968093128549,0,0,5.724401761858937,6.808928612043698,0,0,5.369183098294055,6.7665442325458205,120,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_10_3,Conson,UR,0,0,6.87935580446044,7.977968093128549,4,0,5.724401761858937,6.808928612043698,6,0,5.369183098294055,6.7665442325458205,124,0.0,0.0,3.23,0.0,4.84,0.0
WPAC_13_12,Trami,DL,6,0,5.585999438999817,6.534559431442759,6,1,5.10569849933394,6.107470052000397,6,0,4.812514871346549,6.133238480938699,61,9.84,0.0,9.84,1.64,9.84,0.0
WPAC_13_12,Trami,DR,0,0,5.585999438999817,6.534559431442759,0,0,5.10569849933394,6.107470052000397,0,0,4.812514871346549,6.133238480938699,67,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_13_12,Trami,UL,0,0,5.585999438999817,6.534559431442759,0,0,5.10569849933394,6.107470052000397,0,0,4.812514871346549,6.133238480938699,23,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_13_12,Trami,UR,0,0,5.585999438999817,6.534559431442759,0,0,5.10569849933394,6.107470052000397,0,0,4.812514871346549,6.133238480938699,17,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_3,Carlos,DL,0,0,8.96511025418294,10.368950275208466,0,0,7.305355614749384,8.683754651129716,0,0,6.646561930193079,8.339897295238648,129,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_3,Carlos,DR,0,0,8.96511025418294,10.368950275208466,0,0,7.305355614749384,8.683754651129716,0,0,6.646561930193079,8.339897295238648,122,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_3,Carlos,UL,0,0,8.96511025418294,10.368950275208466,0,0,7.305355614749384,8.683754651129716,0,0,6.646561930193079,8.339897295238648,119,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_3,Carlos,UR,0,0,8.96511025418294,10.368950275208466,0,0,7.305355614749384,8.683754651129716,6,0,6.646561930193079,8.339897295238648,200,0.0,0.0,0.0,0.0,3.0,0.0
EPAC_15_15,Linda,DL,0,0,4.382026634673883,5.075173815233828,0,0,3.5065578973199822,4.108544299482951,0,0,3.4711072941566323,4.364529521420977,2,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_15,Linda,DR,0,0,4.382026634673883,5.075173815233828,0,0,3.5065578973199822,4.108544299482951,0,0,3.4711072941566323,4.364529521420977,7,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_15,Linda,UL,0,0,4.382026634673883,5.075173815233828,0,0,3.5065578973199822,4.108544299482951,0,0,3.4711072941566323,4.364529521420977,16,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_15_15,Linda,UR,0,0,4.382026634673883,5.075173815233828,4,1,3.5065578973199822,4.108544299482951,4,0,3.4711072941566323,4.364529521420977,56,0.0,0.0,7.14,1.79,7.14,0.0
EPAC_15_13,Jimena,DL,0,0,4.1588830833596715,4.852030263919617,0,0,3.9120230054281464,4.716741961645196,2,0,3.5073398280532775,4.42327918062559,67,0.0,0.0,0.0,0.0,2.99,0.0
EPAC_15_13,Jimena,DR,1,0,4.1588830833596715,4.852030263919617,1,0,3.9120230054281464,4.716741961645196,4,0,3.5073398280532775,4.42327918062559,82,1.22,0.0,1.22,0.0,4.88,0.0
EPAC_15_13,Jimena,UL,0,0,4.1588830833596715,4.852030263919617,0,0,3.9120230054281464,4.716741961645196,1,0,3.5073398280532775,4.42327918062559,45,0.0,0.0,0.0,0.0,2.22,0.0
EPAC_15_13,Jimena,UR,2,0,4.1588830833596715,4.852030263919617,3,0,3.9120230054281464,4.716741961645196,3,1,3.5073398280532775,4.42327918062559,70,2.86,0.0,4.29,0.0,4.29,1.43
ATL_12_11,Kirk,DL,0,0,4.1588830833596715,4.852030263919617,0,0,4.852030263919617,5.891751034759535,0,0,4.156420275914933,5.313294946232984,87,0.0,0.0,0.0,0.0,0.0,0.0
ATL_12_11,Kirk,DR,0,0,4.1588830833596715,4.852030263919617,0,0,4.852030263919617,5.891751034759535,0,0,4.156420275914933,5.313294946232984,11,0.0,0.0,0.0,0.0,0.0,0.0
ATL_12_11,Kirk,UL,3,0,4.1588830833596715,4.852030263919617,0,0,4.852030263919617,5.891751034759535,3,0,4.156420275914933,5.313294946232984,68,4.41,0.0,0.0,0.0,4.41,0.0
ATL_12_11,Kirk,UR,1,1,4.1588830833596715,4.852030263919617,1,0,4.852030263919617,5.891751034759535,1,0,4.156420275914933,5.313294946232984,30,3.33,3.33,3.33,0.0,3.33,0.0
EPAC_16_3,Blas,DL,0,0,5.335101590604128,6.182399450991332,0,0,5.17237614319019,6.19081710682071,0,0,4.525512897530767,5.699358170255463,97,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_16_3,Blas,DR,0,0,5.335101590604128,6.182399450991332,0,0,5.17237614319019,6.19081710682071,2,0,4.525512897530767,5.699358170255463,143,0.0,0.0,0.0,0.0,1.4,0.0
EPAC_16_3,Blas,UL,0,0,5.335101590604128,6.182399450991332,0,0,5.17237614319019,6.19081710682071,0,0,4.525512897530767,5.699358170255463,23,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_16_3,Blas,UR,1,0,5.335101590604128,6.182399450991332,1,0,5.17237614319019,6.19081710682071,5,0,4.525512897530767,5.699358170255463,53,1.89,0.0,1.89,0.0,9.43,0.0
EPAC_16_19,Ulika,UL,0,0,0.6931471805599453,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_13_16,Haruna,DL,0,0,4.763267353891182,5.551724714255452,5,0,3.784189633918261,4.455583970230799,5,0,3.89974777742675,4.933865770824236,72,0.0,0.0,6.94,0.0,6.94,0.0
SHEM_13_16,Haruna,DR,0,0,4.763267353891182,5.551724714255452,9,1,3.784189633918261,4.455583970230799,7,0,3.89974777742675,4.933865770824236,66,0.0,0.0,13.64,1.52,10.61,0.0
SHEM_13_16,Haruna,UL,0,0,4.763267353891182,5.551724714255452,0,0,3.784189633918261,4.455583970230799,0,0,3.89974777742675,4.933865770824236,50,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_13_16,Haruna,UR,0,0,4.763267353891182,5.551724714255452,1,0,3.784189633918261,4.455583970230799,1,0,3.89974777742675,4.933865770824236,39,0.0,0.0,2.56,0.0,2.56,0.0
EPAC_13_3,Cosme,DL,1,1,1.7068099508303562,1.9095425048844386,0,0,4.073933564961973,4.91913016106248,0,0,3.3172902685165715,4.246200169625555,5,20.0,20.0,0.0,0.0,0.0,0.0
EPAC_13_3,Cosme,DR,5,4,1.7068099508303562,1.9095425048844386,0,0,4.073933564961973,4.91913016106248,0,0,3.3172902685165715,4.246200169625555,9,55.56,44.44,0.0,0.0,0.0,0.0
EPAC_13_3,Cosme,UL,0,0,1.7068099508303562,1.9095425048844386,0,0,4.073933564961973,4.91913016106248,0,0,3.3172902685165715,4.246200169625555,3,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_13_3,Cosme,UR,2,2,1.7068099508303562,1.9095425048844386,0,0,4.073933564961973,4.91913016106248,0,0,3.3172902685165715,4.246200169625555,5,40.0,40.0,0.0,0.0,0.0,0.0
EPAC_12_3,Carlotta,DL,0,0,8.940374424836035,10.474742772758045,0,0,7.327123292259293,8.812330525044143,0,0,6.231870954479762,7.901579667547717,48,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_3,Carlotta,DR,0,0,8.940374424836035,10.474742772758045,0,0,7.327123292259293,8.812330525044143,0,0,6.231870954479762,7.901579667547717,72,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_3,Carlotta,UL,0,0,8.940374424836035,10.474742772758045,0,0,7.327123292259293,8.812330525044143,0,0,6.231870954479762,7.901579667547717,50,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_12_3,Carlotta,UR,0,0,8.940374424836035,10.474742772758045,0,0,7.327123292259293,8.812330525044143,0,0,6.231870954479762,7.901579667547717,62,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_15_19,Olwyn,DL,0,0,7.726984298013161,9.03750371006945,0,0,6.039846381324136,7.275154904488143,0,0,5.01527761648411,6.3280121884673,51,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_15_19,Olwyn,DR,0,0,7.726984298013161,9.03750371006945,0,0,6.039846381324136,7.275154904488143,0,0,5.01527761648411,6.3280121884673,9,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_15_19,Olwyn,UL,0,0,7.726984298013161,9.03750371006945,0,0,6.039846381324136,7.275154904488143,0,0,5.01527761648411,6.3280121884673,32,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_15_19,Olwyn,UR,0,0,7.726984298013161,9.03750371006945,0,0,6.039846381324136,7.275154904488143,0,0,5.01527761648411,6.3280121884673,10,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_17_27,Saola,DL,0,0,2.7204727211007667,3.125937829208931,0,0,2.8903717578961645,3.439677902230219,0,0,2.9460413970357555,3.747943930589689,32,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_17_27,Saola,DR,5,5,2.7204727211007667,3.125937829208931,5,2,2.8903717578961645,3.439677902230219,5,1,2.9460413970357555,3.747943930589689,35,14.29,14.29,14.29,5.71,14.29,2.86
WPAC_17_27,Saola,UL,0,0,2.7204727211007667,3.125937829208931,0,0,2.8903717578961645,3.439677902230219,0,0,2.9460413970357555,3.747943930589689,9,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_17_27,Saola,UR,1,1,2.7204727211007667,3.125937829208931,1,0,2.8903717578961645,3.439677902230219,1,0,2.9460413970357555,3.747943930589689,19,5.26,5.26,5.26,0.0,5.26,0.0
WPAC_12_11,Damrey,DL,0,0,5.111312861849701,5.986781599203601,2,0,3.871201010907891,4.564348191467836,2,0,3.92695536446674,4.9766847685469005,30,0.0,0.0,6.67,0.0,6.67,0.0
WPAC_12_11,Damrey,DR,0,0,5.111312861849701,5.986781599203601,2,0,3.871201010907891,4.564348191467836,2,0,3.92695536446674,4.9766847685469005,46,0.0,0.0,4.35,0.0,4.35,0.0
WPAC_12_11,Damrey,UL,0,0,5.111312861849701,5.986781599203601,0,0,3.871201010907891,4.564348191467836,0,0,3.92695536446674,4.9766847685469005,12,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_12_11,Damrey,UR,0,0,5.111312861849701,5.986781599203601,2,0,3.871201010907891,4.564348191467836,2,0,3.92695536446674,4.9766847685469005,30,0.0,0.0,6.67,0.0,6.67,0.0
EPAC_10_9,Frank,DL,0,0,9.879247519195964,11.582113787609737,0,0,8.218448805745453,9.94446754643008,0,0,7.13529112363897,9.122097701690127,22,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_10_9,Frank,DR,0,0,9.879247519195964,11.582113787609737,0,0,8.218448805745453,9.94446754643008,5,0,7.13529112363897,9.122097701690127,88,0.0,0.0,0.0,0.0,5.68,0.0
EPAC_10_9,Frank,UL,0,0,9.879247519195964,11.582113787609737,0,0,8.218448805745453,9.94446754643008,0,0,7.13529112363897,9.122097701690127,10,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_10_9,Frank,UR,0,0,9.879247519195964,11.582113787609737,0,0,8.218448805745453,9.94446754643008,0,0,7.13529112363897,9.122097701690127,88,0.0,0.0,0.0,0.0,0.0,0.0
ATL_17_16,Nate,DL,0,0,6.877509587937238,8.047580840587493,0,0,6.469766979168412,7.812555651793488,2,0,5.448110835973326,6.90803589761947,54,0.0,0.0,0.0,0.0,3.7,0.0
ATL_17_16,Nate,DR,0,0,6.877509587937238,8.047580840587493,0,0,6.469766979168412,7.812555651793488,2,0,5.448110835973326,6.90803589761947,58,0.0,0.0,0.0,0.0,3.45,0.0
ATL_17_16,Nate,UL,0,0,6.877509587937238,8.047580840587493,0,0,6.469766979168412,7.812555651793488,0,0,5.448110835973326,6.90803589761947,53,0.0,0.0,0.0,0.0,0.0,0.0
ATL_17_16,Nate,UR,0,0,6.877509587937238,8.047580840587493,0,0,6.469766979168412,7.812555651793488,3,0,5.448110835973326,6.90803589761947,44,0.0,0.0,0.0,0.0,6.82,0.0
