time_bin,storm_code,lightning_count,year,month,day,hour,minute,lat,lon,pressure,knots,storm_name,category,basin,minute_right,24_hour_knots_diff,24_hour_pressure_diff,Current_Category,Intensification_Category_5,log_lightning_count,Intensification_Category_3,burst_iqr1,burst_iqr2,iqr1_threshold,iqr2_threshold,burst_mad1,burst_mad2,mad1_threshold,mad2_threshold,burst_logn1,burst_logn2,logn1_threshold,logn2_threshold,std_dev,threshold_calc_type,category_group
2010-05-18 16:00:00,IO_10_1,46,2010,5,18,16,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,3.8501476017100584,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 17:00:00,IO_10_1,13,2010,5,18,17,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,2.639057329615259,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 17:30:00,IO_10_1,79,2010,5,18,17,30,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,4.382026634673881,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 18:00:00,IO_10_1,9,2010,5,18,18,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,2.302585092994046,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 18:30:00,IO_10_1,10,2010,5,18,18,30,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,2.3978952727983707,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 19:00:00,IO_10_1,8,2010,5,18,19,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,2.1972245773362196,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 19:30:00,IO_10_1,64,2010,5,18,19,30,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,4.174387269895637,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 20:00:00,IO_10_1,84,2010,5,18,20,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,4.442651256490317,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 20:30:00,IO_10_1,83,2010,5,18,20,30,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,4.430816798843313,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,False,6.5622070118492495,4.965640744009491,2.0,mean,0-2
2010-05-18 21:00:00,IO_10_1,190,2010,5,18,21,0,13.2,82.7,982,55,Laila,1,IO,0,5.0,-4.0,0,Neutral,5.25227342804663,Neutral,False,False,5.388722011963844,6.304466670770471,False,False,7.451705583183456,7.7563150061479496,False,True,6.5622070118492495,4.965640744009491,2.0,mean,0-2
