storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
IO_10_1,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,4,6.5622070118492495,4.965640744009491,115,0.0,0.0,0.0,0.0,0.0,3.48,2.0,mean,0-2
IO_10_3,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_10_4,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_10_5,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_11_6,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_12_6,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_13_6,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_14_3,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,1,6.5622070118492495,4.965640744009491,86,0.0,0.0,0.0,0.0,0.0,1.16,2.0,mean,0-2
IO_14_4,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_15_4,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_15_5,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,68,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_16_5,0,0,7.451705583183456,7.7563150061479496,3,0,5.388722011963844,6.304466670770471,0,9,6.5622070118492495,4.965640744009491,118,0.0,0.0,2.54,0.0,0.0,7.63,2.0,mean,0-2
IO_17_3,0,0,7.451705583183456,7.7563150061479496,7,2,5.388722011963844,6.304466670770471,1,9,6.5622070118492495,4.965640744009491,107,0.0,0.0,6.54,1.87,0.93,8.41,2.0,mean,0-2
IO_18_2,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_18_5,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_18_6,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,48,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_18_7,0,0,7.451705583183456,7.7563150061479496,2,1,5.388722011963844,6.304466670770471,0,10,6.5622070118492495,4.965640744009491,124,0.0,0.0,1.61,0.81,0.0,8.06,2.0,mean,0-2
IO_19_1,0,0,7.451705583183456,7.7563150061479496,9,0,5.388722011963844,6.304466670770471,0,16,6.5622070118492495,4.965640744009491,85,0.0,0.0,10.59,0.0,0.0,18.82,2.0,mean,0-2
